account_id,customer_id,branch_id,account_number,account_type,currency,balance,account_status,opened_date
ACC0000001,CUST059627,BR0482,518031535350,Current,INR,2606335.85,DORMANT,2016-03-04
ACC0000002,CUST090476,BR0098,989433736247,Savings,INR,248698.34,ACTIVE,2025-10-09
ACC0000003,CUST035784,BR0042,401321128058,Savings,INR,4888661.33,CLOSED,2024-05-07
ACC0000004,CUST076528,BR0111,202878662171,Savings,INR,3846862.98,DORMANT,2021-02-09
ACC0000005,CUST027964,BR0335,184675875628,Current,INR,2418904.71,ACTIVE,2014-09-25
ACC0000006,CUST057127,BR0392,718321464449,Current,INR,3147098.63,CLOSED,2011-12-31
ACC0000007,CUST002305,BR0270,643393066424,Savings,INR,903954.72,ACTIVE,2026-05-20
ACC0000008,CUST080131,BR0190,515991970952,Savings,INR,2389085.52,ACTIVE,2021-05-04
ACC0000009,CUST081091,BR0199,352542773459,Savings,INR,3802258.96,ACTIVE,2014-01-02
ACC0000010,CUST087332,BR0180,482040144338,Savings,INR,2083400.85,ACTIVE,2016-04-13
ACC0000011,CUST037333,BR0255,360360435789,Current,INR,388712.27,DORMANT,2022-05-09
ACC0000012,CUST046319,BR0482,683231497375,Savings,INR,3239026.38,ACTIVE,2025-04-30
ACC0000013,CUST071521,BR0485,604473453812,Current,INR,2206185.65,DORMANT,2023-02-08
ACC0000014,CUST021125,BR0222,881537008801,Savings,INR,2608518.56,CLOSED,2024-04-09
ACC0000015,CUST066298,BR0363,235367700991,Savings,INR,4393620.46,CLOSED,2016-10-14
ACC0000016,CUST057346,BR0055,973508055687,Current,INR,911479.63,CLOSED,2013-03-11
ACC0000017,CUST025042,BR0122,527866748699,Current,INR,2949456.56,CLOSED,2018-02-04
ACC0000018,CUST034905,BR0211,563743095616,Savings,INR,3603535.75,CLOSED,2013-04-20
ACC0000019,CUST077467,BR0330,661046299367,Savings,INR,1570177.37,DORMANT,2020-10-04
ACC0000020,CUST010309,BR0420,427350030285,Savings,INR,1812402.14,CLOSED,2012-03-03
ACC0000021,CUST037980,BR0412,991272082658,Current,INR,3049148.5,CLOSED,2013-06-03
ACC0000022,CUST011093,BR0005,879509924979,Savings,INR,183849.28,DORMANT,2021-02-09
ACC0000023,CUST013209,BR0427,514438041648,Current,INR,4353948.17,ACTIVE,2018-12-03
ACC0000024,CUST013394,BR0010,362006761571,Savings,INR,2997248.6,CLOSED,2019-09-13
ACC0000025,CUST092119,BR0277,358901966735,Savings,INR,4125864.63,DORMANT,2013-07-23
ACC0000026,CUST045787,BR0434,494097002021,Current,INR,4918074.98,CLOSED,2024-07-23
ACC0000027,CUST072436,BR0289,149167773130,Savings,INR,467160.77,ACTIVE,2025-01-17
ACC0000028,CUST025512,BR0229,721060164827,Savings,INR,859719.11,DORMANT,2014-10-10
ACC0000029,CUST000862,BR0274,975268758096,Current,INR,3739222.77,ACTIVE,2017-02-17
ACC0000030,CUST004221,BR0372,764899541563,Current,INR,3106984.97,CLOSED,2018-07-23
ACC0000031,CUST007679,BR0433,661931306885,Current,INR,2230114.17,ACTIVE,2011-09-08
ACC0000032,CUST013580,BR0049,683946891176,Savings,INR,539549.29,ACTIVE,2024-11-23
ACC0000033,CUST000817,BR0065,715906391374,Savings,INR,4045929.74,CLOSED,2018-05-01
ACC0000034,CUST024219,BR0350,427147143051,Current,INR,2864382.87,ACTIVE,2015-04-23
ACC0000035,CUST072421,BR0496,428528119752,Savings,INR,3606288.0,DORMANT,2015-11-04
ACC0000036,CUST028296,BR0208,213678955657,Savings,INR,1018383.29,CLOSED,2018-02-22
ACC0000037,CUST075551,BR0440,161816935095,Current,INR,665272.52,ACTIVE,2015-05-26
ACC0000038,CUST015148,BR0493,599293225660,Savings,INR,1923378.6,ACTIVE,2012-03-28
ACC0000039,CUST067428,BR0361,905493698788,Current,INR,2521331.08,CLOSED,2012-01-24
ACC0000040,CUST037089,BR0064,883574628287,Current,INR,3704147.43,DORMANT,2014-02-21
ACC0000041,CUST033779,BR0093,231294868242,Savings,INR,326885.37,ACTIVE,2023-05-23
ACC0000042,CUST041486,BR0047,385715484255,Current,INR,813169.98,DORMANT,2011-12-24
