customer_id,first_name,last_name,gender,date_of_birth,email,phone,pan_number,aadhaar_number,occupation,annual_income,marital_status,customer_since,kyc_status,risk_category,branch_id,city,state,country,customer_status
CUST000001,Ranbir,Ramanathan,M,1971-11-29,ranbir.ramanathan1@mail.com,3761379180,ADDRO4571O,234187051317,Doctor,1276266.4,Single,2016-12-15,REJECTED,LOW,BR0387,Ambarnath,Nagaland,India,ACTIVE
CUST000002,Orinder,Sinha,M,2006-03-04,orinder.sinha2@mail.com,0910430068,JYFPV4978D,519870433749,Teacher,4830659.71,Single,2017-06-21,REJECTED,LOW,BR0476,Gwalior,Rajasthan,India,INACTIVE
CUST000003,Michael,Mall,F,1960-11-21,michael.mall3@mail.com,8328569146,QVSLT5425T,594129831672,Manager,1978740.21,Married,2012-09-30,VERIFIED,MEDIUM,BR0422,Bhiwandi,Manipur,India,INACTIVE
CUST000004,Christopher,More,F,1991-03-07,christopher.more4@mail.com,1020275884,IMIMJ5232K,981789218616,Doctor,4288223.17,Single,2022-01-14,PENDING,MEDIUM,BR0125,Kochi,Tripura,India,INACTIVE
CUST000005,Ayushman,Nayak,M,1998-07-06,ayushman.nayak5@mail.com,8149177850,MUCFR6016V,558155261166,Engineer,1358509.04,Married,2016-09-08,PENDING,HIGH,BR0389,Kota,Odisha,India,ACTIVE
CUST000006,Jack,Kari,F,1995-01-23,jack.kari6@mail.com,0030756220,TYRET5530X,704687539698,Doctor,3573703.72,Married,2016-01-18,PENDING,MEDIUM,BR0119,Imphal,Himachal Pradesh,India,ACTIVE
CUST000007,Faras,Pradhan,F,1962-10-02,faras.pradhan7@mail.com,2380617445,OSDWM1200S,959556362647,Teacher,1932229.13,Married,2011-08-27,VERIFIED,HIGH,BR0274,Jalna,Odisha,India,ACTIVE
CUST000008,Daksha,Kibe,M,1980-08-31,daksha.kibe8@mail.com,3832060385,BDOHZ2940R,565886908843,Engineer,1411896.27,Married,2022-03-02,VERIFIED,LOW,BR0206,Aizawl,Bihar,India,INACTIVE
CUST000009,Samesh,Wagle,F,2007-08-31,samesh.wagle9@mail.com,7024103865,YFFRE3847R,781846979561,Doctor,4328800.0,Married,2012-11-17,PENDING,HIGH,BR0318,Singrauli,Assam,India,ACTIVE
CUST000010,David,Saran,F,1990-12-28,david.saran10@mail.com,3445655743,GUPUF2880R,222935641043,Doctor,356671.31,Married,2022-06-17,REJECTED,MEDIUM,BR0360,Bhatpara,Bihar,India,INACTIVE
CUST000011,Nitesh,Sengupta,M,1980-10-11,nitesh.sengupta11@mail.com,1853747411,HKHOL1653N,468334415352,Engineer,996429.39,Married,2012-02-09,REJECTED,HIGH,BR0423,Siliguri,Assam,India,INACTIVE
CUST000012,Yuvraj,Parekh,M,1977-02-23,yuvraj.parekh12@mail.com,4420678831,PQMCJ6460K,628051021423,Manager,4142821.98,Single,2013-03-29,VERIFIED,MEDIUM,BR0266,Korba,Chhattisgarh,India,INACTIVE
CUST000013,Rudra,Rattan,F,1975-11-25,rudra.rattan13@mail.com,9941013721,ZKNZR9889O,271336346403,Doctor,3380400.98,Married,2024-09-24,REJECTED,LOW,BR0233,Gulbarga,Odisha,India,ACTIVE
CUST000014,Rachita,Rana,F,1982-05-05,rachita.rana14@mail.com,6253244720,SDZPG3594J,777018884073,Manager,2321796.59,Single,2014-12-25,VERIFIED,MEDIUM,BR0282,Panchkula,Maharashtra,India,ACTIVE
CUST000015,Varenya,Bhat,M,1961-02-08,varenya.bhat15@mail.com,2638380657,MLDEP3236C,122476842527,Business,4745891.56,Single,2024-04-26,PENDING,HIGH,BR0150,Munger,Himachal Pradesh,India,INACTIVE
CUST000016,Pranit,Bal,F,1973-02-15,pranit.bal16@mail.com,0407859321,MITJY4090W,552677986568,Engineer,1557627.12,Married,2019-01-05,REJECTED,HIGH,BR0338,Muzaffarnagar,Odisha,India,INACTIVE
CUST000017,Lipika,Pant,F,2005-03-04,lipika.pant17@mail.com,2395590599,NPWWL9617O,491272744826,Engineer,1727246.37,Married,2023-04-04,REJECTED,MEDIUM,BR0198,Hosur,Jharkhand,India,ACTIVE
CUST000018,Parth,Swaminathan,M,1958-07-09,parth.swaminathan18@mail.com,3930870593,WWJIS8994R,125133617717,Engineer,2453554.88,Married,2024-05-27,PENDING,HIGH,BR0355,Allahabad,Andhra Pradesh,India,INACTIVE
CUST000019,Manbir,Dhar,F,1996-10-22,manbir.dhar19@mail.com,1569154522,XBUHJ3385H,158821214846,Teacher,3784478.56,Married,2013-12-24,VERIFIED,HIGH,BR0361,Rajahmundry,Sikkim,India,ACTIVE
CUST000020,Parth,Radhakrishnan,M,1972-07-01,parth.radhakrishnan20@mail.com,2209690295,GAUXR3588C,970277513950,Analyst,4380030.07,Single,2012-12-31,PENDING,HIGH,BR0074,Ajmer,Karnataka,India,ACTIVE
CUST000021,Faras,Khanna,F,1974-07-30,faras.khanna21@mail.com,2157043315,JHSAV7484I,823766615901,Manager,1400471.48,Married,2012-03-20,VERIFIED,MEDIUM,BR0437,Gurgaon,Goa,India,INACTIVE
CUST000022,Odika,Tailor,F,2002-05-24,odika.tailor22@mail.com,8617932710,RVQXQ6061Z,113218039138,Teacher,3113911.99,Married,2015-03-14,VERIFIED,HIGH,BR0098,Srinagar,Karnataka,India,INACTIVE
CUST000023,Onkar,Prashad,M,1964-11-28,onkar.prashad23@mail.com,8159970629,VGVMU6549Z,822215466977,Doctor,1768251.8,Married,2012-12-16,VERIFIED,LOW,BR0068,Jhansi,Maharashtra,India,INACTIVE
CUST000024,Alka,Manda,M,1972-01-04,alka.manda24@mail.com,0698720506,LRRPV7086D,288686732233,Manager,3676240.22,Married,2018-04-07,REJECTED,MEDIUM,BR0047,Indore,Gujarat,India,INACTIVE
CUST000025,Onkar,Manne,F,2007-05-08,,1467741862,BAZDG9807E,483087241410,Analyst,1262562.56,Single,2014-02-25,REJECTED,MEDIUM,BR0466,Firozabad,Manipur,India,INACTIVE
CUST000026,Udyati,Lall,F,1968-04-22,udyati.lall26@mail.com,9021158693,HRFLG6942D,736784327078,Analyst,3762891.27,Single,2022-12-31,PENDING,HIGH,BR0051,Jorhat,Sikkim,India,INACTIVE
CUST000027,Vaishnavi,Keer,F,1981-04-23,vaishnavi.keer27@mail.com,6089899217,ZUFVO4538H,701899206876,Teacher,4847393.0,Married,2022-11-10,VERIFIED,HIGH,BR0109,Kalyan-Dombivli,Maharashtra,India,ACTIVE
CUST000028,Farhan,Saran,M,1967-01-16,farhan.saran28@mail.com,9451168685,UPAGD7897Q,638334171046,Teacher,2793034.19,Single,2024-05-19,VERIFIED,HIGH,BR0444,Dharmavaram,Mizoram,India,ACTIVE
